ncalls,tottime,percall,cumtime,percall,filename:lineno(function),,,,,,,
1,0,0,0.003,0.003,type_check.py:3(<module>),,,,,,,
481,0,0,0.002,0,<frozen,importlib._bootstrap_external>:78(_path_is_mode_type),,,,,,
319,0,0,0.002,0,<frozen,importlib._bootstrap_external>:826(path_stats),,,,,,
1,0,0,0.002,0.002,__init__.py:184(<module>),,,,,,,
1,0,0,0.002,0.002,__init__.py:24(<module>),,,,,,,
1,0,0,0.002,0.002,__init__.py:97(<module>),,,,,,,
1,0,0,0.002,0.002,arraysetops.py:27(<module>),,,,,,,
1,0,0,0.002,0.002,case.py:1(<module>),,,,,,,
1,0,0,0.002,0.002,chardistribution.py:28(<module>),,,,,,,
1,0,0,0.002,0.002,core.py:21(<module>),,,,,,,
6,0,0,0.002,0,enum.py:215(__call__),,,,,,,
6,0,0,0.002,0,enum.py:314(_create_),,,,,,,
6,0,0,0.002,0,enum.py:532(_convert),,,,,,,
1,0,0,0.002,0.002,financial.py:12(<module>),,,,,,,
1,0,0,0.002,0.002,linecache.py:6(<module>),,,,,,,
1,0,0,0.002,0.002,models.py:8(<module>),,,,,,,
1,0,0,0.002,0.002,npyio.py:1(<module>),,,,,,,
1,0,0,0.002,0.002,packages.py:1(<module>),,,,,,,
1,0,0,0.002,0.002,parse.py:28(<module>),,,,,,,
1,0,0,0.002,0.002,platform.py:848(_syscmd_file),,,,,,,
1,0,0,0.002,0.002,platform.py:884(architecture),,,,,,,
1,0,0,0.002,0.002,process.py:10(<module>),,,,,,,
1,0,0,0.002,0.002,sbcsgroupprober.py:29(<module>),,,,,,,
1,0,0,0.002,0.002,scimath.py:17(<module>),,,,,,,
1,0,0,0.002,0.002,sharedctypes.py:10(<module>),,,,,,,
1,0,0,0.002,0.002,signal.py:1(<module>),,,,,,,
1,0,0,0.002,0.002,string.py:15(<module>),,,,,,,
1,0,0,0.002,0.002,subprocess.py:1428(_execute_child),,,,,,,
1,0,0,0.002,0.002,subprocess.py:834(__init__),,,,,,,
1,0,0,0.002,0.002,traceback.py:1(<module>),,,,,,,
1,0,0,0.002,0.002,twodim_base.py:3(<module>),,,,,,,
385,0,0,0.001,0,<frozen,importlib._bootstrap>:170(__exit__),,,,,,
380,0,0,0.001,0,<frozen,importlib._bootstrap>:716(find_spec),,,,,,
18,0,0,0.001,0,<frozen,importlib._bootstrap>:737(create_module),,,,,,
1121,0,0,0.001,0,<frozen,importlib._bootstrap>:856(__exit__),,,,,,
31,0,0,0.001,0,<frozen,importlib._bootstrap_external>:1047(_path_hooks),,,,,,
31,0,0,0.001,0,<frozen,importlib._bootstrap_external>:1260(_fill_cache),,,,,,
31,0,0,0.001,0,<frozen,importlib._bootstrap_external>:1301(path_hook_for_FileFinder),,,,,,
638,0,0,0.001,0,<frozen,importlib._bootstrap_external>:45(_r_long),,,,,,
1,0,0,0.001,0.001,MultiplePeopleCounter.py:388(read_count_in_log),,,,,,,
19,0,0,0.001,0,_add_newdocs.py:6704(add_newdoc_for_scalar_type),,,,,,,
