ncalls tottime percall cumtime percall filename:lineno(function)
1 0.000 0.000 0.000 0.000 <__array_function__ internals>:2(concatenate)
2752 0.031 0.000 0.142 0.000 <__array_function__ internals>:2(copy)
5504 0.047 0.000 0.107 0.000 <__array_function__ internals>:2(copyto)
2751 0.027 0.000 0.055 0.000 <__array_function__ internals>:2(empty_like)
2751 0.025 0.000 0.293 0.000 <__array_function__ internals>:2(nanmin)
1 0.000 0.000 0.000 0.000 <__array_function__ internals>:2(prod)
10087 0.086 0.000 0.399 0.000 <__array_function__ internals>:2(where)
2751 0.029 0.000 0.245 0.000 <__array_function__ internals>:2(zeros_like)
36 0.000 0.000 0.003 0.000 <frozen importlib._bootstrap>:1043(__import__)
750 0.005 0.000 0.007 0.000 <frozen importlib._bootstrap>:119(release)
386 0.001 0.000 0.001 0.000 <frozen importlib._bootstrap>:159(__init__)
386 0.004 0.000 0.017 0.000 <frozen importlib._bootstrap>:163(__enter__)
386 0.002 0.000 0.006 0.000 <frozen importlib._bootstrap>:170(__exit__)
750 0.005 0.000 0.009 0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
387 0.001 0.000 0.001 0.000 <frozen importlib._bootstrap>:190(cb)
364 0.005 0.000 0.014 0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
482/5 0.002 0.000 1.208 0.242 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
362 0.001 0.000 0.001 0.000 <frozen importlib._bootstrap>:225(_verbose_message)
18 0.000 0.000 0.000 0.000 <frozen importlib._bootstrap>:235(_requires_builtin_wrapper)
364 0.001 0.000 0.001 0.000 <frozen importlib._bootstrap>:310(__init__)
364 0.001 0.000 0.001 0.000 <frozen importlib._bootstrap>:314(__enter__)
364 0.003 0.000 0.010 0.000 <frozen importlib._bootstrap>:321(__exit__)
1452 0.003 0.000 0.003 0.000 <frozen importlib._bootstrap>:324(<genexpr>)
320 0.001 0.000 0.001 0.000 <frozen importlib._bootstrap>:35(_new_module)
387 0.001 0.000 0.001 0.000 <frozen importlib._bootstrap>:372(__init__)
666 0.002 0.000 0.025 0.000 <frozen importlib._bootstrap>:406(cached)
364 0.001 0.000 0.002 0.000 <frozen importlib._bootstrap>:419(parent)
364 0.001 0.000 0.001 0.000 <frozen importlib._bootstrap>:427(has_location)
22/21 0.000 0.000 0.046 0.002 <frozen importlib._bootstrap>:436(spec_from_loader)
364 0.010 0.000 0.044 0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
364 0.004 0.000 0.091 0.000 <frozen importlib._bootstrap>:570(module_from_spec)
4 0.000 0.000 0.000 0.000 <frozen importlib._bootstrap>:630(_load_backward_compatible)
368/5 0.008 0.000 1.209 0.242 <frozen importlib._bootstrap>:659(_load_unlocked)
381 0.001 0.000 0.003 0.000 <frozen importlib._bootstrap>:716(find_spec)
18 0.000 0.000 0.003 0.000 <frozen importlib._bootstrap>:737(create_module)
387 0.003 0.000 0.004 0.000 <frozen importlib._bootstrap>:74(__init__)
18 0.000 0.000 0.000 0.000 <frozen importlib._bootstrap>:745(exec_module)
18 0.000 0.000 0.000 0.000 <frozen importlib._bootstrap>:762(is_package)
363 0.001 0.000 0.002 0.000 <frozen importlib._bootstrap>:789(find_spec)
1124 0.004 0.000 0.006 0.000 <frozen importlib._bootstrap>:852(__enter__)
1124 0.004 0.000 0.007 0.000 <frozen importlib._bootstrap>:856(__exit__)
17 0.000 0.000 0.046 0.003 <frozen importlib._bootstrap>:870(_find_spec_legacy)
381/355 0.013 0.000 0.288 0.001 <frozen importlib._bootstrap>:879(_find_spec)
73 0.000 0.000 0.000 0.000 <frozen importlib._bootstrap>:919(_sanity_check)
386/5 0.008 0.000 1.211 0.242 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
750 0.006 0.000 0.007 0.000 <frozen importlib._bootstrap>:94(acquire)
386/5 0.009 0.000 1.211 0.242 <frozen importlib._bootstrap>:966(_find_and_load)
73 0.001 0.000 0.002 0.000 <frozen importlib._bootstrap>:972(_gcd_import)
1554/587 0.010 0.000 0.910 0.002 <frozen importlib._bootstrap>:996(_handle_fromlist)
31 0.000 0.000 0.003 0.000 <frozen importlib._bootstrap_external>:1047(_path_hooks)
739 0.004 0.000 0.008 0.000 <frozen importlib._bootstrap_external>:1064(_path_importer_cache)
364/363 0.015 0.000 0.216 0.001 <frozen importlib._bootstrap_external>:1101(_get_spec)
363 0.003 0.000 0.218 0.001 <frozen importlib._bootstrap_external>:1133(find_spec)
31 0.000 0.000 0.001 0.000 <frozen importlib._bootstrap_external>:1178(__init__)
248 0.000 0.000 0.000 0.000 <frozen importlib._bootstrap_external>:1184(<genexpr>)
346 0.003 0.000 0.008 0.000 <frozen importlib._bootstrap_external>:1210(_get_spec)
651 0.054 0.000 0.187 0.000 <frozen importlib._bootstrap_external>:1215(find_spec)
31 0.000 0.000 0.002 0.000 <frozen importlib._bootstrap_external>:1260(_fill_cache)
31 0.000 0.000 0.002 0.000 <frozen importlib._bootstrap_external>:1301(path_hook_for_FileFinder)
640 0.012 0.000 0.037 0.000 <frozen importlib._bootstrap_external>:246(cache_from_source)
651 0.001 0.000 0.001 0.000 <frozen importlib._bootstrap_external>:34(_relax_case)
346 0.003 0.000 0.023 0.000 <frozen importlib._bootstrap_external>:342(_get_cached)
3392 0.010 0.000 0.010 0.000 <frozen importlib._bootstrap_external>:366(_verbose_message)
320 0.002 0.000 0.002 0.000 <frozen importlib._bootstrap_external>:382(_check_name_wrapper)
320 0.008 0.000 0.013 0.000 <frozen importlib._bootstrap_external>:419(_validate_bytecode_header)
640 0.002 0.000 0.003 0.000 <frozen importlib._bootstrap_external>:45(_r_long)
320 0.004 0.000 0.067 0.000 <frozen importlib._bootstrap_external>:474(_compile_bytecode)
3510 0.030 0.000 0.088 0.000 <frozen importlib._bootstrap_external>:50(_path_join)
346 0.003 0.000 0.004 0.000 <frozen importlib._bootstrap_external>:513(spec_from_file_location)
3510 0.030 0.000 0.048 0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
640 0.005 0.000 0.008 0.000 <frozen importlib._bootstrap_external>:56(_path_split)
320 0.001 0.000 0.001 0.000 <frozen importlib._bootstrap_external>:656(create_module)
320/5 0.004 0.000 1.209 0.242 <frozen importlib._bootstrap_external>:659(exec_module)
1453 0.006 0.000 0.020 0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
320 0.010 0.000 0.128 0.000 <frozen importlib._bootstrap_external>:729(get_code)
482 0.002 0.000 0.007 0.000 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
320 0.001 0.000 0.001 0.000 <frozen importlib._bootstrap_external>:786(__init__)
320 0.001 0.000 0.001 0.000 <frozen importlib._bootstrap_external>:811(get_filename)
320 0.008 0.000 0.013 0.000 <frozen importlib._bootstrap_external>:816(get_data)
320 0.002 0.000 0.005 0.000 <frozen importlib._bootstrap_external>:826(path_stats)
450 0.002 0.000 0.009 0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
26 0.000 0.000 0.000 0.000 <frozen importlib._bootstrap_external>:892(__init__)
26 0.000 0.000 0.038 0.001 <frozen importlib._bootstrap_external>:903(create_module)
26/22 0.000 0.000 0.033 0.001 <frozen importlib._bootstrap_external>:911(exec_module)
32 0.000 0.000 0.001 0.000 <frozen importlib._bootstrap_external>:92(_path_isdir)
2 0.000 0.000 0.000 0.000 <frozen importlib._bootstrap_external>:950(_find_parent_path_names)
2 0.000 0.000 0.000 0.000 <frozen importlib._bootstrap_external>:960(_get_parent_path)
2 0.000 0.000 0.001 0.001 <frozen importlib._bootstrap_external>:964(_recalculate)
2 0.000 0.000 0.001 0.001 <frozen importlib._bootstrap_external>:977(__iter__)
19 0.000 0.000 0.002 0.000 <string>:1(<module>)
578 0.001 0.000 0.002 0.000 <string>:12(__new__)
2 0.000 0.000 0.000 0.000 <string>:2(<module>)
3 0.000 0.000 0.000 0.000 <string>:2(getvalue)
1 0.000 0.000 0.000 0.000 <string>:5(ArgSpec)
1 0.000 0.000 0.000 0.000 <string>:5(DecimalTuple)
1 0.000 0.000 0.000 0.000 <string>:5(DefaultVerifyPaths)
1 0.000 0.000 0.000 0.000 <string>:5(DefragResult)
1 0.000 0.000 0.000 0.000 <string>:5(Match)
1 0.000 0.000 0.000 0.000 <string>:5(Mismatch)
1 0.000 0.000 0.000 0.000 <string>:5(ParseResult)
1 0.000 0.000 0.000 0.000 <string>:5(PoolKey)
1 0.000 0.000 0.000 0.000 <string>:5(RequestHistory)
1 0.000 0.000 0.000 0.000 <string>:5(SelectorKey)
1 0.000 0.000 0.000 0.000 <string>:5(SplitResult)
1 0.000 0.000 0.000 0.000 <string>:5(TokenInfo)
1 0.000 0.000 0.000 0.000 <string>:5(Url)
1 0.000 0.000 0.000 0.000 <string>:5(_ASN1Object)
1 0.000 0.000 0.000 0.000 <string>:5(_LoggingWatcher)
1 0.000 0.000 0.000 0.000 <string>:5(interface)
1 0.000 0.000 0.000 0.000 <string>:5(uname_result)
1 0.000 0.000 0.000 0.000 <string>:5(usage)
1 0.000 0.000 0.000 0.000 <string>:8(setvalue)
1 0.000 0.000 0.000 0.000 Counters.py:104(AreaCounter)
1 0.000 0.000 0.000 0.000 Counters.py:109(__init__)
2492 0.021 0.000 0.046 0.000 Counters.py:123(update_count)
1 0.000 0.000 0.000 0.000 Counters.py:14(AbstractInOutCounter)
87 0.001 0.000 0.003 0.000 Counters.py:149(get_final_count)
1 0.000 0.000 0.000 0.000 Counters.py:18(__init__)
1 0.000 0.000 0.000 0.000 Counters.py:2(<module>)
1 0.000 0.000 0.000 0.000 Counters.py:29(register_out_event_callback)
1 0.000 0.000 0.000 0.000 Counters.py:37(register_in_events_callback)
1 0.000 0.000 0.000 0.000 Counters.py:6(CounterType)
2751 0.013 0.000 0.058 0.000 Counters.py:62(update_count_multi)
2 0.000 0.000 0.000 0.000 Counters.py:82(notify_out_event)
8 0.000 0.000 0.001 0.000 Counters.py:93(notify_in_event)
1 0.000 0.000 0.000 0.000 Driver3Dcam.py:11(OpenNi2Driver)
1 0.000 0.000 0.016 0.016 Driver3Dcam.py:3(<module>)
1 0.000 0.000 0.000 0.000 DriverProcess.py:14(DriverProcess)
1 0.000 0.000 0.020 0.020 DriverProcess.py:2(<module>)
1 0.000 0.000 0.000 0.000 DriverProcess.py:21(__init__)
1 0.000 0.000 0.000 0.000 FileReaderProcess.py:2(<module>)
1 0.000 0.000 0.000 0.000 FileReaderProcess.py:8(FileReaderProcess)
1 0.000 0.000 0.000 0.000 FpsEstimator.py:2(<module>)
2751 0.013 0.000 0.015 0.000 FpsEstimator.py:25(tick)
2751 0.013 0.000 0.041 0.000 FpsEstimator.py:42(get_fps)
1 0.000 0.000 0.000 0.000 FpsEstimator.py:5(FpsEstimator)
1 0.000 0.000 0.000 0.000 FpsEstimator.py:9(__init__)
1 0.000 0.000 0.131 0.131 MultiplePeopleCounter.py:1004(instantiate_counter_from_args)
1 0.000 0.000 1.194 1.194 MultiplePeopleCounter.py:2(<module>)
2762 0.006 0.000 0.006 0.000 MultiplePeopleCounter.py:225(get_count_in)
2762 0.007 0.000 0.007 0.000 MultiplePeopleCounter.py:229(get_count_out)
1 0.000 0.000 0.106 0.106 MultiplePeopleCounter.py:233(load_config)
1 0.000 0.000 0.009 0.009 MultiplePeopleCounter.py:245(map_config)
1 0.000 0.000 0.000 0.000 MultiplePeopleCounter.py:258(<lambda>)
1 0.000 0.000 0.000 0.000 MultiplePeopleCounter.py:26(WinName)
1 0.000 0.000 0.007 0.007 MultiplePeopleCounter.py:314(<lambda>)
31 0.000 0.000 0.009 0.000 MultiplePeopleCounter.py:326(map_config_params)
12 0.000 0.000 0.000 0.000 MultiplePeopleCounter.py:327(<lambda>)
1 0.000 0.000 0.000 0.000 MultiplePeopleCounter.py:348(init_log_file)
1 0.000 0.000 0.000 0.000 MultiplePeopleCounter.py:36(MultiplePeopleCounter)
1 0.000 0.000 0.000 0.000 MultiplePeopleCounter.py:363(close_log_file)
11 0.000 0.000 0.001 0.000 MultiplePeopleCounter.py:373(write_count_to_log)
1 0.000 0.000 0.003 0.003 MultiplePeopleCounter.py:388(read_count_in_log)
1 0.000 0.000 0.000 0.000 MultiplePeopleCounter.py:396(<genexpr>)
2751 0.023 0.000 0.119 0.000 MultiplePeopleCounter.py:425(check_daily_reset)
1 0.000 0.000 0.131 0.131 MultiplePeopleCounter.py:44(__init__)
2751 0.007 0.000 0.007 0.000 MultiplePeopleCounter.py:449(push_data_interval)
2752 0.386 0.000 0.456 0.000 MultiplePeopleCounter.py:487(image_pre_processing)
2751 0.284 0.000 1.021 0.000 MultiplePeopleCounter.py:518(binarize_frame)
1 0.000 0.000 0.000 0.000 MultiplePeopleCounter.py:545(init_background)
917 0.156 0.000 0.221 0.000 MultiplePeopleCounter.py:552(background_recalculation)
2751 3.172 0.001 8.462 0.003 MultiplePeopleCounter.py:589(head_contours_extraction)
34348 0.628 0.000 1.287 0.000 MultiplePeopleCounter.py:633(<listcomp>)
2 0.000 0.000 0.000 0.000 MultiplePeopleCounter.py:674(count_out)
8 0.000 0.000 0.001 0.000 MultiplePeopleCounter.py:686(count_in)
87 0.000 0.000 0.000 0.000 MultiplePeopleCounter.py:697(track_lost_callback)
2751 0.345 0.000 0.891 0.000 MultiplePeopleCounter.py:716(visualization)
2875 0.118 0.000 1.177 0.000 MultiplePeopleCounter.py:803(get_frame)
2874 0.053 0.000 10.923 0.004 MultiplePeopleCounter.py:833(wait_for_key)
1 0.308 0.308 24.488 24.488 MultiplePeopleCounter.py:907(run)
7 0.000 0.000 0.000 0.000 MultiplePeopleCounterConfig.py:14(__init__)
1 0.000 0.000 0.033 0.033 MultiplePeopleCounterConfig.py:2(<module>)
31 0.000 0.000 0.000 0.000 MultiplePeopleCounterConfig.py:22(rgetattr)
62 0.000 0.000 0.000 0.000 MultiplePeopleCounterConfig.py:25(_getattr)
7/1 0.000 0.000 0.001 0.001 MultiplePeopleCounterConfig.py:34(print_config_from_dict)
1 0.000 0.000 0.000 0.000 MultiplePeopleCounterConfig.py:51(MultiplePeopleCounterConfig)
1 0.000 0.000 0.097 0.097 MultiplePeopleCounterConfig.py:57(__init__)
7/1 0.000 0.000 0.000 0.000 MultiplePeopleCounterConfig.py:64(create_sections)
1 0.000 0.000 0.000 0.000 MultiplePeopleCounterConfig.py:8(ConfigSection)
1 0.000 0.000 0.097 0.097 MultiplePeopleCounterConfig.py:95(read_config_file)
87 0.000 0.000 0.000 0.000 Person.py:12(get_next_id)
1 0.000 0.000 0.000 0.000 Person.py:2(<module>)
87 0.001 0.000 0.001 0.000 Person.py:24(__init__)
1341 0.007 0.000 0.011 0.000 Person.py:41(update_location)
1 0.000 0.000 0.000 0.000 Person.py:5(TrackedObject)
2427 0.004 0.000 0.004 0.000 Person.py:56(age_one)
2492 0.004 0.000 0.004 0.000 Person.py:62(get_loc)
1 0.000 0.000 0.000 0.000 Person.py:69(Person)
87 0.001 0.000 0.002 0.000 Person.py:74(__init__)
1341 0.007 0.000 0.018 0.000 Person.py:80(update_location)
1 0.000 0.000 0.000 0.000 RingBuffer.py:2(<module>)
1 0.000 0.000 0.000 0.000 RingBuffer.py:5(RingBuffer)
1 0.000 0.000 0.002 0.002 Terabee3DcamDriver.py:2(<module>)
1 0.000 0.000 0.000 0.000 Terabee3DcamDriver.py:9(OpenNiDriver)
1 0.000 0.000 0.000 0.000 Trackers.py:105(GreedyTracker)
1 0.000 0.000 0.000 0.000 Trackers.py:159(ProximityTracker)
1 0.000 0.000 0.000 0.000 Trackers.py:168(__init__)
1 0.000 0.000 0.000 0.000 Trackers.py:17(AbstractTracker)
2751 0.168 0.000 0.338 0.000 Trackers.py:173(track_contours)
1 0.000 0.000 0.000 0.000 Trackers.py:2(<module>)
2143 0.003 0.000 0.003 0.000 Trackers.py:207(<lambda>)
1 0.000 0.000 0.000 0.000 Trackers.py:23(__init__)
2 0.000 0.000 0.000 0.000 Trackers.py:39(register_on_track_lost_callback)
