CMDLINE /usr/bin/python3 main.py
MEM 238.472656 1578323607.1131
MEM 238.472656 1578323607.2208
MEM 238.472656 1578323607.3292
MEM 238.472656 1578323607.4415
MEM 238.472656 1578323607.5589
MEM 238.472656 1578323607.6784
MEM 238.472656 1578323607.7963
MEM 238.472656 1578323607.9148
MEM 238.472656 1578323608.0403
MEM 238.472656 1578323608.1579
MEM 238.472656 1578323608.2738
MEM 238.472656 1578323608.3919
MEM 238.472656 1578323608.5174
MEM 238.472656 1578323608.6346
MEM 238.472656 1578323608.7633
MEM 238.472656 1578323608.8762
MEM 238.472656 1578323608.9899
MEM 238.472656 1578323609.1057
MEM 238.472656 1578323609.2229
MEM 238.472656 1578323609.3400
MEM 238.472656 1578323609.4513
MEM 238.472656 1578323609.5785
MEM 238.472656 1578323609.6870
MEM 238.472656 1578323609.8021
MEM 238.472656 1578323609.9227
MEM 238.472656 1578323610.0437
MEM 238.472656 1578323610.1555
MEM 238.472656 1578323610.2676
MEM 238.472656 1578323610.3766
MEM 238.472656 1578323610.4919
MEM 238.472656 1578323610.6132
MEM 238.472656 1578323610.7360
MEM 238.472656 1578323610.8571
MEM 238.472656 1578323610.9742
MEM 238.472656 1578323611.0857
MEM 238.472656 1578323611.1947
MEM 238.472656 1578323611.3223
MEM 238.472656 1578323611.4396
MEM 238.472656 1578323611.5605
MEM 238.472656 1578323611.6757
MEM 238.472656 1578323611.7877
MEM 238.472656 1578323611.9012
MEM 238.472656 1578323612.0203
MEM 238.472656 1578323612.1381
MEM 238.472656 1578323612.2521
MEM 238.472656 1578323612.3660
MEM 238.472656 1578323612.4809
MEM 239.207031 1578323612.5947
MEM 239.207031 1578323612.7142
MEM 239.207031 1578323612.8295
MEM 239.207031 1578323612.9430
MEM 239.207031 1578323613.0640
MEM 239.207031 1578323613.1834
MEM 239.207031 1578323613.3016
MEM 239.207031 1578323613.4173
MEM 239.207031 1578323613.5352
MEM 239.207031 1578323613.6440
MEM 239.207031 1578323613.7562
MEM 239.207031 1578323613.8701
MEM 239.207031 1578323613.9826
MEM 239.207031 1578323614.0985
MEM 239.207031 1578323614.2100
MEM 239.207031 1578323614.3406
MEM 239.207031 1578323614.4631
MEM 239.207031 1578323614.5934
MEM 239.207031 1578323614.7231
MEM 239.207031 1578323614.8480
MEM 239.207031 1578323614.9614
MEM 239.207031 1578323615.0711
MEM 239.207031 1578323615.1851
MEM 239.207031 1578323615.3070
MEM 239.207031 1578323615.4168
MEM 239.207031 1578323615.5310
MEM 239.207031 1578323615.6466
MEM 239.207031 1578323615.7644
MEM 239.207031 1578323615.8733
MEM 239.207031 1578323615.9834
MEM 239.207031 1578323616.0907
MEM 239.207031 1578323616.2076
MEM 239.207031 1578323616.3213
MEM 239.207031 1578323616.4345
MEM 239.207031 1578323616.5504
MEM 239.207031 1578323616.6751
MEM 239.207031 1578323616.8035
MEM 239.207031 1578323616.9310
MEM 239.207031 1578323617.0470
MEM 239.207031 1578323617.1669
MEM 239.207031 1578323617.2848
MEM 239.207031 1578323617.3944
MEM 239.207031 1578323617.5035
MEM 239.207031 1578323617.6122
MEM 239.207031 1578323617.7223
MEM 239.207031 1578323617.8390
MEM 239.207031 1578323617.9610
MEM 239.207031 1578323618.0838
MEM 239.207031 1578323618.1986
MEM 239.207031 1578323618.3125
MEM 239.207031 1578323618.4276
MEM 239.207031 1578323618.5401
MEM 239.207031 1578323618.6521
MEM 239.207031 1578323618.7687
MEM 239.207031 1578323618.8818
MEM 239.207031 1578323618.9946
MEM 239.207031 1578323619.1067
MEM 239.207031 1578323619.2285
MEM 239.207031 1578323619.3413
MEM 239.207031 1578323619.4540
MEM 239.207031 1578323619.5702
MEM 239.207031 1578323619.6795
MEM 239.207031 1578323619.7977
MEM 239.207031 1578323619.9155
MEM 239.207031 1578323620.0280
MEM 239.207031 1578323620.1418
MEM 239.207031 1578323620.2512
MEM 239.207031 1578323620.3602
MEM 239.207031 1578323620.4699
MEM 239.207031 1578323620.5833
MEM 239.207031 1578323620.6992
MEM 239.207031 1578323620.8190
MEM 239.207031 1578323620.9348
MEM 239.207031 1578323621.0502
MEM 239.207031 1578323621.1633
MEM 239.207031 1578323621.2788
MEM 239.207031 1578323621.3961
MEM 239.207031 1578323621.5115
MEM 239.207031 1578323621.6273
MEM 239.207031 1578323621.7431
MEM 239.207031 1578323621.8627
MEM 239.207031 1578323621.9767
MEM 239.207031 1578323622.0859
